#\kappa_tau,\kappa_tau_tilde,\lnLog
-2.0,0.98,182.35153765080915
-2.0,1.0,184.26342121106504
-2.0,1.02,186.21196756852353
-2.0,1.04,188.18
-2.0,1.06,190.1502055723871
-2.0,1.08,192.12913662937444
-2.0,1.1,194.1290538326453
-2.0,1.12,196.16
-2.0,1.14,198.23367379039624
-2.0,1.16,200.3508844665671
-2.0,1.18,202.5019777735597
-2.0,1.2,204.67
-2.0,1.22,206.84543225336085
-2.0,1.24,209.0321291356671
-2.0,1.26,211.23089896300922
-2.0,1.28,213.45
-2.0,1.3,215.7032730188955
-2.0,1.32,217.98954524716092
-2.0,1.34,220.29970091130724
-2.0,1.36,222.63
-2.0,1.38,224.97875472370205
-2.0,1.4,227.34967545235833
-2.0,1.42,229.7540170488527
-2.0,1.44,232.2
-2.0,1.46,234.6871296012016
-2.0,1.48,237.20023282399166
-2.0,1.5,239.72355629305233
-2.0,1.52,242.24
-2.0,1.54,244.7386394461826
-2.0,1.56,247.23115414117865
-2.0,1.58,249.73190955467788
-2.0,1.6,252.26
-2.0,1.62,254.81562172980472
-2.0,1.64,257.38482197846156
-2.0,1.66,259.97120606047906
-2.0,1.68,262.58
-2.0,1.7,265.2075734860557
-2.0,1.72,267.8509104790244
-2.0,1.74,270.51392792419426
-2.0,1.76,273.19
-2.0,1.78,275.87230513898186
-2.0,1.8,278.5643169388773
-2.0,1.82,281.26571763565886
-2.0,1.84,283.98
-2.0,1.86,286.71479386034736
-2.0,1.88,289.4695373260247
-2.0,1.9,292.2417971253393
-2.0,1.92,295.03
-2.0,1.94,297.83463350711725
-2.0,1.96,300.65453729494783
-2.0,1.98,303.48711510025964
-2.0,2.0,306.33
-1.98,-2.0,303.36123200834004
-1.98,-1.98,300.50476614164586
-1.98,-1.96,297.6496724982662
-1.98,-1.94,294.79953942654214
-1.98,-1.92,291.9569034993384
-1.98,-1.9,289.1128395260598
-1.98,-1.88,286.28896592388537
-1.98,-1.86,283.4868051863922
-1.98,-1.84,280.708421494927
-1.98,-1.82,277.9459126036954
-1.98,-1.8,275.1908473853622
-1.98,-1.78,272.4548737129826
-1.98,-1.76,269.73516197379985
-1.98,-1.74,267.0275571576463
-1.98,-1.72,264.3338312974664
-1.98,-1.7,261.65692198049726
-1.98,-1.68,258.9889407388065
-1.98,-1.66,256.33318935986495
